acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,beta_shift,dropout_prob,warmup_proportion,lr
60.25,50.31,51.68,51.09,0.5006,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.5,0.1,2e-05
61.09,51.16,52.45,51.65,0.4995,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.5,0.1,2.9999999999999997e-05
59.15,49.58,49.18,51.43,0.499,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.5,0.05,2e-05
57.43,47.93,46.97,49.98,0.4897,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.5,0.05,2.9999999999999997e-05
60.25,50.5,53.37,49.6,0.4929,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.5,0.01,2e-05
58.74,48.93,57.56,48.55,0.4872,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.5,0.01,2.9999999999999997e-05
58.74,48.04,52.8,46.19,0.4979,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.1,0.1,2e-05
58.74,49.73,49.42,50.68,0.4905,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.1,0.1,2.9999999999999997e-05
58.01,49.95,53.8,48.76,0.4851,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.1,0.05,2e-05
57.12,49.56,51.91,48.97,0.4920000000000001,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.1,0.05,2.9999999999999997e-05
57.43,50.24,51.7,50.41,0.5014,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.1,0.01,2e-05
58.63,49.49,50.25,49.91,0.5009,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.1,0.01,2.9999999999999997e-05
59.99,50.1,50.45,51.29,0.5027,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.3,0.1,2e-05
59.89,49.84,53.1,48.89,0.5069,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.3,0.1,2.9999999999999997e-05
59.47,49.5,54.76,48.18,0.5016,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.3,0.05,2e-05
58.53,48.06,50.68,47.49,0.4976,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.3,0.05,2.9999999999999997e-05
59.78,48.89,53.45,48.43,0.4876,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.3,0.01,2e-05
58.69,50.45,50.91,50.92,0.4972,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.005,0.3,0.01,2.9999999999999997e-05
60.3,50.26,52.09,50.84,0.5037,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.5,0.1,2e-05
58.84,50.76,52.48,51.13,0.5135,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.5,0.1,2.9999999999999997e-05
59.62,49.61,49.63,51.11,0.5028,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.5,0.05,2e-05
57.8,50.19,52.1,50.13,0.4923,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.5,0.05,2.9999999999999997e-05
60.41,50.5,51.32,51.46,0.4887,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.5,0.01,2e-05
58.16,49.97,53.8,49.41,0.4933,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.5,0.01,2.9999999999999997e-05
60.2,50.35,53.04,49.8,0.5027,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.1,0.1,2e-05
58.11,49.41,52.41,49.39,0.4968,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.1,0.1,2.9999999999999997e-05
57.54,49.08,53.56,48.06,0.5084,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.1,0.05,2e-05
58.79,49.58,50.48,49.61,0.4857,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.1,0.05,2.9999999999999997e-05
58.79,49.2,58.16,48.67,0.4916,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.1,0.01,2e-05
59.31,50.03,51.3,49.36,0.5061,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.1,0.01,2.9999999999999997e-05
60.46,50.2,53.44,49.55,0.504,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.3,0.1,2e-05
60.04,50.7,57.78,49.57,0.5089,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.3,0.1,2.9999999999999997e-05
58.22,48.45,52.56,45.99,0.4875,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.3,0.05,2e-05
58.06,49.38,50.91,49.28,0.5174,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.3,0.05,2.9999999999999997e-05
59.52,49.69,50.97,50.05,0.4913,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.3,0.01,2e-05
..,,,,,,,,,,,,,
59.52,50.98,52.23,50.53,0.495,MELD-DA,mag_bert,bert-base-uncased,2.0,mag_bert_MELD-DA_multi-class_seed-2,0.005,0.5,0.1,2e-05
57.38,50.88,52.34,51.16,0.486,MELD-DA,mag_bert,bert-base-uncased,2.0,mag_bert_MELD-DA_multi-class_seed-2,0.005,0.5,0.1,3e-05
59.05,53.69,56.24,53.46,0.506,MELD-DA,mag_bert,bert-base-uncased,3.0,mag_bert_MELD-DA_multi-class_seed-3,0.005,0.5,0.1,2e-05
59.89,50.09,51.61,50.04,0.4922,MELD-DA,mag_bert,bert-base-uncased,3.0,mag_bert_MELD-DA_multi-class_seed-3,0.005,0.5,0.1,3e-05
57.12,49.9,50.97,51.02,0.5,MELD-DA,mag_bert,bert-base-uncased,4.0,mag_bert_MELD-DA_multi-class_seed-4,0.005,0.5,0.1,2e-05
57.17,50.77,52.08,52.63,0.5132,MELD-DA,mag_bert,bert-base-uncased,4.0,mag_bert_MELD-DA_multi-class_seed-4,0.005,0.5,0.1,3e-05
58.58,50.19,50.27,51.82,0.5014,MELD-DA,mag_bert,bert-base-uncased,5.0,mag_bert_MELD-DA_multi-class_seed-5,0.005,0.5,0.1,2e-05
59.36,51.99,50.83,54.51,0.5095,MELD-DA,mag_bert,bert-base-uncased,5.0,mag_bert_MELD-DA_multi-class_seed-5,0.005,0.5,0.1,3e-05
