acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,reverse_grad_weight,hidden_size,dropout_rate,diff_weight,sim_weight,recon_weight,lr
58.83,58.27,58.68,53.53,55.58,53.08,52.63,58.58,45.63,94.24,47.98,55.42,0.6022,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.2,0.5,0.3,0.3,2e-05
58.04,57.65,57.88,52.79,53.99,52.36,52.09,57.99,45.33,93.86,48.24,55.22,0.5895,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.2,0.5,0.3,0.3,3e-05
58.24,57.89,58.57,53.25,54.87,52.9,52.49,58.3,45.64,93.86,47.86,55.22,0.5931,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.2,0.5,0.3,0.6,2e-05
58.04,57.46,57.85,52.33,53.93,51.91,52.15,57.91,45.45,94.05,48.3,55.34,0.5967,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.2,0.5,0.3,0.6,3e-05
57.99,57.22,57.56,51.81,54.45,51.04,52.4,58.34,45.53,94.05,48.11,55.35,0.5913,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.2,0.5,0.7,0.3,2e-05
58.29,58.06,58.44,53.04,53.63,53.09,51.89,57.83,45.09,94.11,48.37,55.37,0.5859,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.2,0.5,0.7,0.3,3e-05
58.39,57.61,57.77,52.31,54.21,51.98,52.2,58.05,45.5,93.92,48.11,55.32,0.5895,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.2,0.5,0.7,0.6,2e-05
58.04,57.39,57.61,52.68,54.51,52.02,51.83,57.7,45.26,93.99,48.56,55.31,0.5904,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.2,0.5,0.7,0.6,3e-05
58.34,57.54,57.8,52.26,54.61,51.55,52.71,58.58,45.62,94.11,47.98,55.32,0.5986,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.2,0.7,0.3,0.3,2e-05
57.06,56.66,56.99,51.41,52.95,50.88,52.29,58.18,45.37,93.99,48.05,55.29,0.5814,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.2,0.7,0.3,0.3,3e-05
57.6,57.17,57.86,52.34,54.19,52.18,52.37,58.19,45.44,94.05,48.24,55.38,0.5922,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.2,0.7,0.3,0.6,2e-05
58.04,57.66,57.78,53.3,54.34,52.9,51.49,57.54,44.91,94.11,48.94,55.37,0.585,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.2,0.7,0.3,0.6,3e-05
57.99,57.29,57.78,52.85,55.99,51.8,52.39,58.35,45.59,93.86,48.05,55.22,0.5949,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.2,0.7,0.7,0.3,2e-05
56.67,56.57,56.79,52.11,52.83,51.86,51.53,57.52,44.9,94.24,48.5,55.43,0.5895,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.2,0.7,0.7,0.3,3e-05
58.58,57.68,57.94,52.32,55.19,51.79,52.19,58.15,45.38,94.18,48.3,55.4,0.5976,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.2,0.7,0.7,0.6,2e-05
58.04,57.4,57.64,52.57,54.55,52.09,51.87,57.73,45.23,93.99,48.43,55.29,0.5886,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.2,0.7,0.7,0.6,3e-05
57.89,57.25,57.5,52.34,54.43,51.77,52.59,58.52,45.58,94.31,47.73,55.47,0.5976,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.1,0.5,0.3,0.3,2e-05
56.42,56.23,57.32,51.37,55.15,50.93,52.16,58.0,45.43,94.05,48.37,55.41,0.5814,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.1,0.5,0.3,0.3,3e-05
57.99,57.54,58.06,53.2,54.81,53.02,52.51,58.43,45.57,93.99,48.11,55.27,0.594,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.1,0.5,0.3,0.6,2e-05
57.45,57.16,57.2,53.01,53.86,52.58,52.13,57.85,45.46,93.92,48.3,55.24,0.6004,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.1,0.5,0.3,0.6,3e-05
57.21,56.64,57.38,51.7,52.67,52.55,52.16,58.04,45.42,94.11,48.37,55.38,0.5886,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.1,0.5,0.7,0.3,2e-05
59.17,58.65,59.0,53.64,55.44,53.01,52.15,58.05,45.46,94.11,48.5,55.35,0.5922,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.1,0.5,0.7,0.3,3e-05
57.26,56.99,57.06,52.92,53.82,52.56,51.96,57.8,45.32,94.05,48.43,55.36,0.5995,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.1,0.5,0.7,0.6,2e-05
57.35,56.73,56.8,51.52,53.01,51.01,51.33,57.49,44.56,94.43,48.88,55.55,0.5913,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.1,0.5,0.7,0.6,3e-05
57.5,57.38,57.66,53.4,54.59,52.9,52.53,58.6,45.49,94.05,48.11,55.36,0.5958,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.1,0.7,0.3,0.3,2e-05
55.83,55.66,56.47,51.07,52.22,52.06,51.81,57.69,45.0,94.37,48.43,55.48,0.5832,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.1,0.7,0.3,0.3,3e-05
58.19,57.83,58.09,53.7,55.44,53.1,52.39,58.24,45.42,94.18,48.3,55.4,0.5976,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.1,0.7,0.3,0.6,2e-05
57.75,57.48,57.63,53.46,54.64,52.95,52.13,57.92,45.35,94.11,48.24,55.37,0.6076,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-02-31-07,0.8,768.0,0.1,0.7,0.3,0.6,3e-05
..,,,,,,,,,,,,,,,,,,,,,,,,,,
56.91,55.55,57.74,49.72,53.1,50.57,51.58,57.64,44.95,94.05,48.82,55.35,0.5832,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,1.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-17-49,0.8,768.0,0.1,0.5,0.7,0.3,2.9999999999999997e-05
58.34,58.11,58.26,52.87,53.81,52.41,51.37,57.53,44.62,94.31,48.88,55.48,0.5877,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,2.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-17-49,0.8,768.0,0.1,0.5,0.7,0.3,3e-05
57.75,55.97,55.55,48.36,49.23,49.5,51.14,57.52,44.55,94.24,49.26,55.41,0.5823,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.3,0.6,0.1,0.3,1e-05
58.68,58.44,58.58,53.34,54.38,52.72,51.57,57.67,44.52,94.56,48.43,55.62,0.5886,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,3.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-17-49,0.8,768.0,0.1,0.5,0.7,0.3,3e-05
57.6,57.21,57.1,52.43,52.8,52.46,50.8,57.16,44.26,94.63,49.52,55.59,0.5886,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.3,0.6,0.1,0.3,2e-05
57.6,56.82,58.9,50.58,55.51,50.07,52.18,58.19,45.22,94.31,48.3,55.45,0.5778,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,4.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-17-49,0.8,768.0,0.1,0.5,0.7,0.3,3e-05
.,,,,,,,,,,,,,,,,,,,,,,,,,,
57.4,57.18,57.32,51.9,52.11,52.11,50.95,57.17,44.27,94.69,49.2,55.73,0.5769,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.3,0.6,0.1,0.3,2.9999999999999997e-05
58.14,56.87,56.84,49.69,51.63,49.94,51.62,57.92,44.91,94.11,48.94,55.37,0.5913,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.3,0.6,0.7,0.3,1e-05
58.53,57.84,57.75,52.46,53.25,52.72,50.94,57.29,44.12,94.56,49.26,55.6,0.5832,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.3,0.6,0.7,0.3,2e-05
58.98,57.56,57.72,50.91,53.87,50.62,50.92,57.21,44.47,94.37,49.58,55.5,0.5805,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.3,0.6,0.7,0.3,3e-05
57.11,55.35,55.15,47.84,49.33,48.97,51.31,57.71,44.61,94.05,49.39,55.42,0.5841,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.3,0.5,0.1,0.3,1e-05
58.63,58.06,57.84,52.34,53.1,52.16,50.93,57.26,44.21,94.56,49.26,55.6,0.5805,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.3,0.5,0.1,0.3,2e-05
57.55,57.13,57.16,52.0,53.16,51.66,51.17,57.42,44.46,94.56,49.07,55.62,0.5787,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.3,0.5,0.1,0.3,2.9999999999999997e-05
58.29,57.04,57.13,50.01,52.51,50.27,51.7,57.92,44.87,94.05,48.62,55.33,0.5823,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.3,0.5,0.7,0.3,1e-05
58.14,57.65,57.46,52.32,52.79,52.28,51.19,57.62,44.4,94.43,49.33,55.59,0.5886,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.3,0.5,0.7,0.3,2e-05
58.68,58.0,57.86,53.07,53.59,53.18,51.32,57.47,44.51,94.63,48.94,55.61,0.5904,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.3,0.5,0.7,0.3,3e-05
58.09,56.62,56.51,49.42,52.4,49.83,51.47,57.73,44.64,94.31,49.01,55.45,0.5877,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.1,0.6,0.1,0.3,1e-05
58.04,57.41,57.24,52.33,53.26,52.2,51.05,57.3,44.44,94.31,49.33,55.46,0.5868,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.1,0.6,0.1,0.3,2e-05
58.58,57.94,57.79,52.5,54.05,51.78,51.02,57.21,44.5,94.37,49.33,55.5,0.5814,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.1,0.6,0.1,0.3,2.9999999999999997e-05
58.34,57.26,58.35,50.44,54.47,50.63,51.67,57.89,44.88,94.31,48.82,55.45,0.5859,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.1,0.6,0.7,0.3,1e-05
58.04,57.4,57.17,52.44,53.58,52.1,51.33,57.65,44.62,94.24,49.2,55.44,0.5859,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.1,0.6,0.7,0.3,2e-05
59.12,58.0,58.34,52.06,54.19,51.9,51.18,57.41,44.48,94.5,49.07,55.6,0.575,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.1,0.6,0.7,0.3,3e-05
58.34,57.42,56.91,51.21,51.7,51.39,51.59,57.81,44.87,94.11,48.94,55.46,0.5877,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.1,0.5,0.1,0.3,1e-05
57.89,57.41,57.27,52.51,53.06,52.51,50.96,57.25,44.35,94.56,49.39,55.59,0.5832,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.1,0.5,0.1,0.3,2e-05
57.85,57.24,56.99,51.18,52.15,50.75,50.71,57.05,44.19,94.43,49.58,55.53,0.5859,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.1,0.5,0.1,0.3,2.9999999999999997e-05
58.58,57.01,57.12,49.59,52.62,49.86,51.66,57.93,44.85,94.18,48.82,55.4,0.5814,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.1,0.5,0.7,0.3,1e-05
58.88,58.0,58.08,52.56,55.51,52.01,51.44,57.67,44.7,94.31,49.07,55.47,0.5877,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.1,0.5,0.7,0.3,2e-05
58.48,57.96,57.84,52.54,53.66,51.95,51.25,57.45,44.64,94.37,49.2,55.5,0.5841,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,256.0,0.1,0.5,0.7,0.3,3e-05
59.27,58.12,58.93,52.51,57.57,51.85,52.33,58.48,45.5,94.05,48.43,55.33,0.604,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.6,0.1,0.3,1e-05
58.39,57.71,57.91,52.74,55.0,51.99,52.41,58.37,45.39,94.31,48.11,55.48,0.5958,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.6,0.1,0.3,2e-05
57.75,57.48,57.55,52.98,53.66,52.73,51.98,57.86,45.07,94.18,48.43,55.43,0.5895,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.6,0.1,0.3,2.9999999999999997e-05
57.99,57.16,57.98,52.28,56.73,51.69,52.68,58.71,45.65,94.05,47.92,55.33,0.5986,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.6,0.7,0.3,1e-05
57.8,57.65,57.79,54.17,54.69,54.05,52.59,58.5,45.69,94.05,48.05,55.33,0.5931,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.6,0.7,0.3,2e-05
58.53,58.32,58.76,53.51,54.51,53.43,51.91,57.9,45.16,93.99,48.62,55.31,0.5714,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.6,0.7,0.3,3e-05
58.14,57.44,57.89,53.27,56.49,52.57,52.52,58.49,45.59,93.99,48.05,55.29,0.5995,MIntRec2,MIntRec2-OOD,misa,ma,bert-base-uncased,0.0,misa_ma_MIntRec2_multi-class_0_2024-04-26-07-26-36,0.3,768.0,0.3,0.5,0.1,0.3,1e-05
