acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,mlp_hidden_size,mlp_dropout,alpha,scale
63.95,62.97,63.42,55.92,59.4,55.51,74.5,87.17,52.84,69.59,31.06,53.62,0.6201,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.57,60.98,64.47,53.84,65.07,55.21,67.39,83.76,48.62,70.08,39.51,53.98,0.6147,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.84,62.66,63.7,54.55,63.71,53.53,71.66,85.28,50.06,73.01,33.01,56.17,0.6137,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,6.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.57,61.05,61.91,51.64,55.22,50.99,63.2,81.92,39.17,81.79,40.65,62.8,0.6243,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
65.17,64.33,64.59,57.02,59.35,57.09,70.74,85.55,48.73,76.59,34.47,58.88,0.6105,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.01,768.0,4.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.63,61.0,63.02,52.82,55.98,53.88,66.9,83.94,46.09,74.96,38.7,57.67,0.6169,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.01,768.0,4.0,0.3,0.1,768.0,5.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.43,63.24,63.77,54.52,61.16,53.99,73.17,86.03,52.48,75.45,31.87,58.02,0.6286,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.01,768.0,4.0,0.3,0.1,768.0,6.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.27,61.72,63.0,49.71,55.29,50.1,72.86,86.5,49.82,73.17,31.22,56.32,0.6265,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.01,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.95,60.96,64.13,53.84,63.32,51.08,73.09,86.19,51.25,69.43,33.01,53.45,0.6179,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
62.56,58.54,62.37,50.73,64.41,49.85,76.11,87.83,54.02,72.52,28.62,55.83,0.6083,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.04,61.19,61.92,53.97,58.04,54.31,75.93,87.5,54.99,66.34,29.27,51.18,0.6211,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
62.45,57.71,63.16,49.67,58.32,49.08,68.21,83.82,47.02,74.15,37.89,57.02,0.6201,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
65.49,63.43,65.25,55.66,65.18,52.74,73.84,86.56,52.42,71.06,32.36,54.71,0.6222,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.04,61.98,62.57,53.33,62.48,53.44,69.56,84.82,47.83,76.26,35.45,58.65,0.6105,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.09,61.04,62.65,53.37,60.08,53.77,75.87,87.46,55.11,66.18,29.11,51.06,0.6147,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,6.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
62.19,59.19,60.26,47.82,54.4,46.99,73.86,86.61,51.25,71.71,31.54,55.2,0.619,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.8,63.66,64.34,55.39,60.4,54.69,72.77,86.44,51.4,72.52,32.36,55.83,0.6222,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,2e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.16,61.47,62.98,52.94,55.49,53.79,70.93,86.36,47.32,77.07,34.47,59.24,0.6105,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,2e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.75,63.08,63.45,52.82,57.34,53.32,70.57,84.83,49.21,75.61,34.31,58.15,0.6158,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,2e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,6.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.43,62.28,62.64,52.12,55.34,51.62,70.04,84.73,48.53,74.96,34.15,57.67,0.6307,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,2e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.27,63.14,63.97,54.78,58.88,54.42,70.6,85.49,48.13,76.42,34.8,58.76,0.619,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,2e-05,0.1,0.01,768.0,4.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.47,60.06,62.12,51.8,58.17,50.39,72.44,87.76,51.65,69.27,33.5,53.38,0.6169,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,2e-05,0.1,0.01,768.0,4.0,0.3,0.1,768.0,5.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.37,62.31,62.78,52.12,55.47,51.47,76.09,87.73,53.94,72.03,28.46,55.47,0.6318,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-02-48-04,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.96,63.6,64.62,57.08,67.07,54.51,73.01,86.14,51.16,72.2,31.38,55.58,0.6318,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,2.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-02-48-04,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.84,61.74,61.8,51.02,53.96,50.76,76.82,88.01,54.23,68.78,28.62,53.0,0.6169,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,3.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-02-48-04,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
62.19,56.91,63.43,51.07,64.75,50.3,74.53,87.16,51.22,73.82,30.89,56.8,0.6179,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,4.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-02-48-04,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.32,62.34,63.66,53.85,63.83,53.66,75.82,87.7,55.34,67.8,29.92,52.24,0.619,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
62.99,59.85,62.54,51.66,62.67,51.82,76.0,87.63,55.79,65.85,29.76,50.81,0.6211,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0
64.16,63.19,64.21,55.61,65.15,54.02,75.98,87.61,55.57,67.8,29.27,52.26,0.6211,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
62.99,59.79,62.76,51.7,62.98,51.9,75.91,87.57,55.84,66.02,30.08,50.92,0.6222,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
65.92,63.11,66.04,53.52,69.74,50.0,75.43,87.19,54.13,69.11,28.62,53.25,0.6307,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
64.85,61.03,64.81,50.72,67.83,47.47,75.06,86.87,53.09,68.78,29.27,53.02,0.6243,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0
65.97,63.28,66.01,53.86,69.94,50.3,75.66,87.22,54.65,70.08,27.97,54.0,0.6318,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
64.8,60.99,64.95,50.92,68.33,47.5,75.16,86.84,53.38,68.78,28.62,53.02,0.6254,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.52,62.07,63.51,53.79,64.73,53.34,71.76,85.83,50.42,72.36,34.31,55.7,0.6233,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
63.73,61.46,62.66,53.76,59.67,51.62,65.69,82.7,44.95,77.24,39.51,59.38,0.6222,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0
63.36,62.0,63.59,53.78,65.09,53.11,71.83,85.86,50.26,72.68,33.82,55.96,0.6222,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
63.57,61.57,62.47,54.61,60.04,52.34,65.45,82.59,44.61,77.07,39.19,59.26,0.6158,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.0,62.07,63.11,53.31,64.11,52.63,75.99,87.78,54.69,69.43,29.92,53.51,0.6243,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
63.84,61.04,63.57,53.49,64.09,53.05,76.58,87.9,55.37,67.97,29.27,52.38,0.619,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0
63.95,62.03,61.98,52.36,54.71,52.15,76.26,87.89,54.88,69.76,29.59,53.74,0.6265,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
63.47,60.58,63.53,52.51,64.13,52.37,76.48,87.84,55.36,68.29,29.59,52.65,0.6211,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
66.4,63.49,65.13,53.79,60.35,51.17,75.73,87.39,55.18,67.97,28.29,52.39,0.6297,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
64.96,61.35,65.51,52.63,68.41,48.82,75.32,87.02,54.32,68.62,29.11,52.88,0.6158,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0
66.77,63.91,65.48,53.83,60.7,50.93,75.97,87.49,55.72,67.97,28.46,52.39,0.6307,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
64.8,61.19,65.09,52.67,68.04,48.88,75.39,87.02,54.45,68.29,29.11,52.64,0.619,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.8,63.63,64.29,56.14,65.88,54.98,66.47,83.13,45.27,75.77,39.02,58.27,0.6115,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
63.2,61.38,62.68,53.26,60.28,52.07,71.46,85.57,49.74,72.85,34.15,56.08,0.6094,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0
64.48,63.25,63.48,55.02,60.7,53.61,65.33,82.63,43.85,78.7,40.0,60.46,0.6115,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
64.32,62.98,63.3,55.87,61.18,53.69,72.44,86.04,50.24,72.68,32.52,55.94,0.6073,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
