acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,mlp_hidden_size,mlp_dropout,alpha,scale
65.01,63.26,63.41,53.47,58.41,52.98,72.65,86.49,51.43,73.01,32.68,56.16,0.6297,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,2.9999999999999997e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
63.68,60.59,63.31,51.22,63.91,51.97,72.76,86.28,51.07,73.66,32.52,56.68,0.6286,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,3e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0
64.69,62.56,63.13,53.45,59.77,52.71,73.97,86.83,53.25,71.22,31.87,54.83,0.6201,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,2.9999999999999997e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
63.84,61.11,62.75,53.25,63.16,52.86,74.82,87.33,54.08,70.41,30.73,54.16,0.6126,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,3e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
65.6,63.53,64.23,54.03,62.5,51.14,72.09,85.93,51.52,70.89,32.85,54.58,0.6158,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,2.9999999999999997e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
64.32,62.63,63.09,54.97,60.35,53.06,70.25,84.76,48.84,73.98,34.31,56.94,0.6201,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,3e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0
64.11,61.58,62.31,52.74,60.24,50.2,72.31,86.04,51.08,72.03,32.03,55.43,0.6169,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,2.9999999999999997e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
63.89,61.53,62.56,51.64,56.01,50.55,72.06,85.83,49.77,74.15,32.85,57.06,0.619,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,3e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
65.01,63.79,63.94,55.87,60.58,54.3,68.31,84.14,44.63,77.89,36.59,59.86,0.603,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,2.9999999999999997e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
62.77,60.9,62.78,54.22,59.1,52.53,58.61,79.23,36.79,83.74,45.04,64.28,0.6051,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,3e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0
62.72,61.28,61.73,54.64,58.88,52.51,62.12,81.66,38.7,83.58,41.95,64.16,0.6094,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,2.9999999999999997e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
61.33,60.61,62.7,53.26,57.96,52.78,73.26,86.3,52.0,70.89,31.71,54.61,0.6051,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,3e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
65.07,63.41,63.06,52.86,53.27,54.4,71.41,85.84,49.87,72.36,34.47,55.71,0.6105,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,2.9999999999999997e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
63.47,61.35,63.46,53.13,61.92,54.94,71.92,86.2,49.71,73.5,32.68,56.56,0.6062,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-04-39-01,3e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.89,60.89,62.16,52.14,60.8,51.06,73.68,86.46,51.92,72.52,32.03,55.75,0.6243,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-06-10-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
63.73,60.96,61.94,51.04,53.88,52.13,72.9,86.12,50.69,73.98,31.87,56.91,0.6222,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,2.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-06-10-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
65.81,63.68,65.0,55.8,63.88,52.06,71.84,85.74,49.84,73.01,33.17,56.19,0.6318,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,3.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-06-10-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
62.77,58.19,61.57,49.77,57.25,48.18,76.11,87.86,52.65,72.52,28.78,55.83,0.6211,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,4.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-06-10-01,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,8.0
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,60.95,62.3,52.25,60.95,51.2,73.87,86.54,51.99,72.03,31.54,55.47,0.6222,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-08-52-22,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
63.73,61.08,63.19,52.0,63.07,52.71,72.85,86.07,50.66,73.5,31.87,56.57,0.6222,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,2.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-08-52-22,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
65.6,63.39,64.69,55.39,62.82,52.01,71.94,85.92,49.96,73.66,33.01,56.69,0.6275,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,3.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-08-52-22,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
62.35,57.7,61.01,49.04,56.45,47.54,76.11,87.88,52.55,72.2,29.11,55.59,0.6201,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,4.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-08-52-22,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.17,63.53,62.93,54.0,55.94,53.13,76.73,89.28,53.77,74.31,29.11,57.18,0.6147,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-11-33-38,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,2.0
64.32,61.27,62.09,51.28,56.19,50.34,77.49,88.9,55.47,71.87,27.64,55.34,0.6243,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-11-33-38,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,4.0
63.47,58.64,63.27,47.18,61.18,44.96,79.72,90.37,60.32,64.72,26.34,49.96,0.6265,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-11-33-38,8e-06,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,2.0
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.65,57.03,59.53,47.39,54.38,47.23,77.23,88.14,55.58,72.03,27.32,55.43,0.6126,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-13-51-13,1e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,6.0
62.08,58.07,61.1,48.5,55.82,48.07,75.94,87.47,53.84,72.36,28.94,55.7,0.6115,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-13-51-13,1e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
63.63,59.33,62.23,50.52,55.04,51.39,70.42,86.19,45.88,77.72,34.8,59.74,0.6297,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-13-51-13,1e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,7.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,6.0
62.88,58.26,61.81,49.58,54.0,51.05,69.94,85.6,46.05,76.91,35.77,59.03,0.6169,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-13-51-13,1e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,7.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
64.69,61.89,65.53,54.02,66.91,52.79,74.23,86.92,53.75,69.11,30.57,53.26,0.6105,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-13-51-13,1e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,8.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,6.0
61.92,61.39,62.98,55.48,62.98,55.84,74.93,86.93,55.86,66.02,29.43,50.92,0.6094,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-13-51-13,1e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,8.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
62.35,58.15,61.21,48.85,56.07,48.72,77.42,88.22,55.44,73.01,27.32,56.2,0.6222,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-13-51-13,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,6.0
62.88,61.51,62.53,52.01,54.36,52.46,70.13,85.05,47.34,75.28,34.47,57.9,0.6179,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-13-51-13,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
62.67,61.59,61.4,51.6,54.84,50.07,77.44,89.08,55.94,69.11,27.15,53.26,0.6211,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-13-51-13,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,7.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,6.0
62.51,57.89,61.83,49.18,53.39,51.58,69.8,85.23,46.51,77.89,34.96,59.87,0.6169,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-13-51-13,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,7.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
62.83,60.88,61.17,51.92,52.28,53.52,77.19,88.29,56.62,68.29,28.29,52.65,0.6158,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-13-51-13,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,8.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,6.0
64.16,63.64,64.14,56.73,59.0,56.83,65.89,83.34,43.64,78.86,39.35,60.61,0.6083,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-13-51-13,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,8.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
62.93,62.38,63.29,55.25,62.34,53.43,71.64,85.9,48.66,76.1,32.85,58.51,0.6169,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-13-51-13,8e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,6.0
64.11,62.84,62.24,52.57,54.03,51.94,69.23,84.71,45.9,77.4,35.12,59.48,0.6201,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-24-13-51-13,8e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.25,62.14,61.57,52.56,53.1,52.49,67.47,83.37,46.14,76.75,38.37,59.0,0.6105,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-25-02-04-40,6e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0
63.57,60.88,62.39,51.78,63.18,50.84,74.09,86.62,52.22,72.36,30.73,55.67,0.635,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-25-03-11-20,8e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
61.65,58.97,59.51,49.7,53.62,49.42,76.59,88.08,54.47,72.52,28.13,55.83,0.619,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,2.0,msz_ma_MELD-DA_multi-class_0_2024-04-25-03-11-20,8e-06,0.1,0.1,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.29,58.79,61.99,47.86,62.28,46.48,79.23,89.02,57.52,68.29,25.85,52.64,0.6201,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-25-04-26-09,2.9999999999999997e-05,0.1,0.1,768.0,6.0,0.3,0.1,768.0,3.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.48,61.58,62.25,50.97,56.95,49.98,69.73,85.44,45.16,80.81,34.31,62.08,0.6211,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-25-04-56-02,8e-06,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
65.17,63.2,63.88,54.48,63.29,54.59,65.86,82.5,44.85,78.54,38.54,60.35,0.6147,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,2.0,msz_ma_MELD-DA_multi-class_0_2024-04-25-04-56-02,8e-06,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
63.52,62.4,63.99,56.1,67.38,53.77,80.16,90.28,62.44,56.75,25.69,43.96,0.6147,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,3.0,msz_ma_MELD-DA_multi-class_0_2024-04-25-04-56-02,8e-06,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
64.8,63.44,63.45,57.01,60.8,55.4,69.45,84.59,48.09,76.75,35.61,59.02,0.619,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,4.0,msz_ma_MELD-DA_multi-class_0_2024-04-25-04-56-02,8e-06,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
65.87,63.56,64.56,54.19,62.43,50.91,72.46,85.82,52.52,69.27,32.36,53.38,0.6318,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-25-07-32-08,8e-06,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.16,60.6,64.5,52.2,59.27,52.43,65.23,82.38,44.31,77.07,38.86,59.22,0.6254,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-25-08-09-59,8e-06,0.1,0.01,768.0,4.0,0.3,0.1,768.0,5.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,8.0
63.47,61.01,63.13,50.32,60.69,48.17,75.52,87.52,53.68,71.22,29.43,54.84,0.619,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-25-08-58-21,8e-06,0.1,0.01,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,8.0
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.84,61.5,61.84,52.64,56.03,51.58,75.94,87.33,55.44,67.32,28.46,51.92,0.6222,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-25-09-42-21,8e-06,0.1,0.01,768.0,4.0,0.2,0.3,768.0,5.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.2,3.0,8.0
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.32,62.64,62.28,53.38,54.89,53.39,74.72,87.37,54.29,71.06,30.89,54.71,0.6254,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,2.0,msz_ma_MELD-DA_multi-class_0_2024-04-25-10-32-20,8e-06,0.1,0.01,768.0,6.0,0.3,0.3,768.0,4.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,8.0
