acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,beta_shift,dropout_prob,warmup_proportion,lr,aligned_method,weight_decay,scale
58.44,57.55,59.12,52.1,59.11,51.51,70.71,80.06,54.42,85.63,34.75,55.74,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0,mag_bert_ma_MIntRec2_multi-class_0_2024-05-18-02-22-57,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.98,57.96,58.39,52.67,55.95,52.29,70.51,79.52,55.51,85.8,34.25,55.84,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1,mag_bert_ma_MIntRec2_multi-class_0_2024-05-18-02-22-57,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.34,57.26,57.15,52.35,53.94,52.3,70.27,79.49,54.89,84.46,34.34,55.0,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2,mag_bert_ma_MIntRec2_multi-class_0_2024-05-18-02-22-57,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.73,57.51,57.98,52.12,56.49,51.68,70.37,79.36,55.44,84.63,34.75,55.11,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3,mag_bert_ma_MIntRec2_multi-class_0_2024-05-18-02-22-57,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.19,56.85,57.92,52.48,58.16,51.78,72.16,80.7,56.19,86.05,33.25,56.0,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4,mag_bert_ma_MIntRec2_multi-class_0_2024-05-18-02-22-57,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.44,57.55,59.12,52.1,59.11,51.51,69.82,79.89,53.99,85.38,35.76,55.58,MIntRec2,MIntRec2-OOD,mag_bert,residual,bert-base-uncased,0,mag_bert_residual_MIntRec2_multi-class_0_2024-05-18-02-25-52,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.98,57.96,58.39,52.67,55.95,52.29,69.84,79.55,55.44,84.13,35.59,54.79,MIntRec2,MIntRec2-OOD,mag_bert,residual,bert-base-uncased,1,mag_bert_residual_MIntRec2_multi-class_0_2024-05-18-02-25-52,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.34,57.26,57.15,52.35,53.94,52.3,70.15,79.73,55.42,84.29,34.67,54.9,MIntRec2,MIntRec2-OOD,mag_bert,residual,bert-base-uncased,2,mag_bert_residual_MIntRec2_multi-class_0_2024-05-18-02-25-52,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.73,57.51,57.98,52.12,56.49,51.68,68.67,79.03,53.13,88.55,36.42,57.49,MIntRec2,MIntRec2-OOD,mag_bert,residual,bert-base-uncased,3,mag_bert_residual_MIntRec2_multi-class_0_2024-05-18-02-25-52,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.19,56.85,57.92,52.48,58.16,51.78,71.33,80.58,55.53,86.38,33.75,56.19,MIntRec2,MIntRec2-OOD,mag_bert,residual,bert-base-uncased,4,mag_bert_residual_MIntRec2_multi-class_0_2024-05-18-02-25-52,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.44,57.55,59.12,52.1,59.11,51.51,69.94,79.75,54.9,84.63,35.59,55.07,MIntRec2,MIntRec2-OOD,mag_bert,vim,bert-base-uncased,0,mag_bert_vim_MIntRec2_multi-class_0_2024-05-18-02-28-25,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.98,57.96,58.39,52.67,55.95,52.29,70.22,79.69,56.22,83.71,35.0,54.53,MIntRec2,MIntRec2-OOD,mag_bert,vim,bert-base-uncased,1,mag_bert_vim_MIntRec2_multi-class_0_2024-05-18-02-28-25,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.34,57.26,57.15,52.35,53.94,52.3,70.34,79.71,56.42,83.79,34.84,54.58,MIntRec2,MIntRec2-OOD,mag_bert,vim,bert-base-uncased,2,mag_bert_vim_MIntRec2_multi-class_0_2024-05-18-02-28-25,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.73,57.51,57.98,52.12,56.49,51.68,69.04,79.01,54.11,85.96,35.92,55.95,MIntRec2,MIntRec2-OOD,mag_bert,vim,bert-base-uncased,3,mag_bert_vim_MIntRec2_multi-class_0_2024-05-18-02-28-25,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.19,56.85,57.92,52.48,58.16,51.78,71.67,80.7,56.69,83.96,33.5,54.69,MIntRec2,MIntRec2-OOD,mag_bert,vim,bert-base-uncased,4,mag_bert_vim_MIntRec2_multi-class_0_2024-05-18-02-28-25,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.44,57.55,59.12,52.1,59.11,51.51,67.42,75.57,54.31,84.54,37.59,55.02,MIntRec2,MIntRec2-OOD,mag_bert,energy,bert-base-uncased,0,mag_bert_energy_MIntRec2_multi-class_0_2024-05-18-02-30-57,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.98,57.96,58.39,52.67,55.95,52.29,68.26,76.51,55.05,86.63,36.59,56.37,MIntRec2,MIntRec2-OOD,mag_bert,energy,bert-base-uncased,1,mag_bert_energy_MIntRec2_multi-class_0_2024-05-18-02-30-57,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.34,57.26,57.15,52.35,53.94,52.3,68.23,76.0,55.03,83.88,36.84,54.62,MIntRec2,MIntRec2-OOD,mag_bert,energy,bert-base-uncased,2,mag_bert_energy_MIntRec2_multi-class_0_2024-05-18-02-30-57,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.73,57.51,57.98,52.12,56.49,51.68,67.51,76.0,53.98,85.05,37.59,55.35,MIntRec2,MIntRec2-OOD,mag_bert,energy,bert-base-uncased,3,mag_bert_energy_MIntRec2_multi-class_0_2024-05-18-02-30-57,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.19,56.85,57.92,52.48,58.16,51.78,69.29,77.68,56.34,82.54,35.92,53.77,MIntRec2,MIntRec2-OOD,mag_bert,energy,bert-base-uncased,4,mag_bert_energy_MIntRec2_multi-class_0_2024-05-18-02-30-57,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.44,57.55,59.12,52.1,59.11,51.51,66.74,75.17,53.32,85.38,38.18,55.58,MIntRec2,MIntRec2-OOD,mag_bert,maxlogit,bert-base-uncased,0,mag_bert_maxlogit_MIntRec2_multi-class_0_2024-05-18-02-32-31,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.98,57.96,58.39,52.67,55.95,52.29,67.21,75.96,53.59,86.55,37.34,56.26,MIntRec2,MIntRec2-OOD,mag_bert,maxlogit,bert-base-uncased,1,mag_bert_maxlogit_MIntRec2_multi-class_0_2024-05-18-02-32-31,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.34,57.26,57.15,52.35,53.94,52.3,67.89,75.78,55.08,82.46,37.09,53.67,MIntRec2,MIntRec2-OOD,mag_bert,maxlogit,bert-base-uncased,2,mag_bert_maxlogit_MIntRec2_multi-class_0_2024-05-18-02-32-31,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.73,57.51,57.98,52.12,56.49,51.68,66.69,75.5,53.13,85.46,38.6,55.6,MIntRec2,MIntRec2-OOD,mag_bert,maxlogit,bert-base-uncased,3,mag_bert_maxlogit_MIntRec2_multi-class_0_2024-05-18-02-32-31,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.19,56.85,57.92,52.48,58.16,51.78,69.03,77.54,55.52,83.88,36.51,54.51,MIntRec2,MIntRec2-OOD,mag_bert,maxlogit,bert-base-uncased,4,mag_bert_maxlogit_MIntRec2_multi-class_0_2024-05-18-02-32-31,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.44,57.55,59.12,52.1,59.11,51.51,64.09,74.23,50.39,87.3,39.68,56.74,MIntRec2,MIntRec2-OOD,mag_bert,msp,bert-base-uncased,0,mag_bert_msp_MIntRec2_multi-class_0_2024-05-18-02-34-11,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.98,57.96,58.39,52.67,55.95,52.29,64.24,75.23,50.02,88.55,40.6,57.48,MIntRec2,MIntRec2-OOD,mag_bert,msp,bert-base-uncased,1,mag_bert_msp_MIntRec2_multi-class_0_2024-05-18-02-34-11,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.34,57.26,57.15,52.35,53.94,52.3,66.06,75.22,53.04,84.71,38.76,55.16,MIntRec2,MIntRec2-OOD,mag_bert,msp,bert-base-uncased,2,mag_bert_msp_MIntRec2_multi-class_0_2024-05-18-02-34-11,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.73,57.51,57.98,52.12,56.49,51.68,63.89,74.32,50.3,87.97,40.94,57.19,MIntRec2,MIntRec2-OOD,mag_bert,msp,bert-base-uncased,3,mag_bert_msp_MIntRec2_multi-class_0_2024-05-18-02-34-11,0.01,0.2,0.05,2e-05,conv1d,0.1,2
58.19,56.85,57.92,52.48,58.16,51.78,67.43,76.88,53.44,84.71,37.51,55.16,MIntRec2,MIntRec2-OOD,mag_bert,msp,bert-base-uncased,4,mag_bert_msp_MIntRec2_multi-class_0_2024-05-18-02-34-11,0.01,0.2,0.05,2e-05,conv1d,0.1,2
