F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight,neg_weight
75.2618,86.4646,75.8219,81.33,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-10-45,2e-05,0.3,0.3,0.3,0.5,2.0,1.0,0.6,0.7,
74.0184,85.2102,74.578,79.84,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-13-34,2e-05,0.3,0.3,0.3,0.5,2.0,1.0,0.6,0.6,
74.6121,85.6594,75.1645,80.39,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-16-54,2e-05,0.3,0.3,0.3,0.5,2.0,1.0,0.6,0.5,
74.2633,85.2317,74.8117,79.84,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-19-42,2e-05,0.3,0.3,0.3,0.5,2.0,1.0,0.7,0.7,
75.2775,86.4568,75.8365,81.33,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-22-52,2e-05,0.3,0.3,0.3,0.5,2.0,1.0,0.7,0.6,
75.6895,86.5444,76.2323,81.4,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-27-14,2e-05,0.3,0.3,0.3,0.5,2.0,1.0,0.7,0.5,
75.7714,86.8783,76.3267,81.75,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-31-01,2e-05,0.3,0.3,0.3,0.5,2.0,1.0,0.8,0.7,
76.5096,87.3346,77.0508,82.4,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-34-29,2e-05,0.3,0.3,0.3,0.5,2.0,1.0,0.8,0.6,
74.9076,86.471,75.4858,81.3,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-38-19,2e-05,0.3,0.3,0.3,0.5,2.0,1.0,0.8,0.5,
75.087,85.9679,75.631,80.78,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-41-35,2e-05,0.3,0.3,0.3,0.5,2.0,0.9,0.6,0.7,
74.2942,85.3012,74.8445,79.9,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-44-07,2e-05,0.3,0.3,0.3,0.5,2.0,0.9,0.6,0.6,
75.3471,86.7189,75.9157,81.59,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-48-04,2e-05,0.3,0.3,0.3,0.5,2.0,0.9,0.6,0.5,
74.6832,85.6731,75.2327,80.45,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-51-06,2e-05,0.3,0.3,0.3,0.5,2.0,0.9,0.7,0.7,
74.8072,86.2061,75.3771,81.01,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-54-11,2e-05,0.3,0.3,0.3,0.5,2.0,0.9,0.7,0.6,
75.5816,86.9545,76.1503,81.92,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-19-57-49,2e-05,0.3,0.3,0.3,0.5,2.0,0.9,0.7,0.5,
75.1994,86.5586,75.7674,81.43,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-00-40,2e-05,0.3,0.3,0.3,0.5,2.0,0.9,0.8,0.7,
75.9905,86.7206,76.527,81.66,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-04-15,2e-05,0.3,0.3,0.3,0.5,2.0,0.9,0.8,0.6,
76.06,87.1334,76.6137,82.05,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-09-42,2e-05,0.3,0.3,0.3,0.5,2.0,0.9,0.8,0.5,
74.8346,86.1091,75.3984,80.84,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-13-20,2e-05,0.3,0.3,0.3,0.5,2.0,0.8,0.6,0.7,
74.4948,85.6184,75.051,80.29,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-16-19,2e-05,0.3,0.3,0.3,0.5,2.0,0.8,0.6,0.6,
75.2445,86.2745,75.796,81.14,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-19-14,2e-05,0.3,0.3,0.3,0.5,2.0,0.8,0.6,0.5,
75.6083,86.796,76.1677,81.66,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-23-35,2e-05,0.3,0.3,0.3,0.5,2.0,0.8,0.7,0.7,
76.2379,87.7441,76.8132,82.89,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-26-36,2e-05,0.3,0.3,0.3,0.5,2.0,0.8,0.7,0.6,
75.4795,86.3082,76.0209,81.17,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-29-51,2e-05,0.3,0.3,0.3,0.5,2.0,0.8,0.7,0.5,
75.9607,87.426,76.53399999999998,82.44,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-32-58,2e-05,0.3,0.3,0.3,0.5,2.0,0.8,0.8,0.7,
75.3487,86.54299999999998,75.9084,81.43,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-36-44,2e-05,0.3,0.3,0.3,0.5,2.0,0.8,0.8,0.6,
74.6798,85.7486,75.2333,80.45,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-39-57,2e-05,0.3,0.3,0.3,0.5,2.0,0.8,0.8,0.5,
75.493,86.0832,76.0226,80.91,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-43-14,2e-05,0.3,0.3,0.3,0.6,2.0,1.0,0.6,0.7,
75.4549,86.40799999999999,76.0025,81.27,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-46-33,2e-05,0.3,0.3,0.3,0.6,2.0,1.0,0.6,0.6,
74.8826,85.8171,75.4293,80.58,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-49-50,2e-05,0.3,0.3,0.3,0.6,2.0,1.0,0.6,0.5,
76.2866,86.8265,76.8136,81.79,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-53-49,2e-05,0.3,0.3,0.3,0.6,2.0,1.0,0.7,0.7,
76.0721,87.0739,76.6222,82.01,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-57-47,2e-05,0.3,0.3,0.3,0.6,2.0,1.0,0.7,0.6,
74.2678,85.4532,74.8271,80.13,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-00-37,2e-05,0.3,0.3,0.3,0.6,2.0,1.0,0.7,0.5,
76.05199999999998,86.905,76.5947,81.88,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-04-48,2e-05,0.3,0.3,0.3,0.6,2.0,1.0,0.8,0.7,
75.3009,86.0978,75.8408,80.94,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-08-33,2e-05,0.3,0.3,0.3,0.6,2.0,1.0,0.8,0.6,
75.4261,86.53299999999999,75.9815,81.36,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-12-44,2e-05,0.3,0.3,0.3,0.6,2.0,1.0,0.8,0.5,
75.8614,86.7808,76.4074,81.69,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-16-46,2e-05,0.3,0.3,0.3,0.6,2.0,0.9,0.6,0.7,
75.6451,86.6983,76.1977,81.62,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-19-40,2e-05,0.3,0.3,0.3,0.6,2.0,0.9,0.6,0.6,
..,,,,,,,,,,,,,,,,,,,,,,
75.2618,86.4646,75.8219,81.33,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-25-05,2e-05,0.3,0.3,,0.5,2.0,1.0,0.6,0.7,0.3
74.0184,85.2102,74.578,79.84,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-28-17,2e-05,0.3,0.3,,0.5,2.0,1.0,0.6,0.6,0.3
74.6121,85.6594,75.1645,80.39,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-31-34,2e-05,0.3,0.3,,0.5,2.0,1.0,0.6,0.5,0.3
..........,,,,,,,,,,,,,,,,,,,,,,
75.4451,86.0292,75.9743,80.88,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-30-00-44-22,2e-05,0.6,0.6,,0.7,2.0,1.0,0.6,0.7,0.6
